	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	total	suburban	domestic	HMT	fdi_b	domestic_b	HMT_b	fdi_b
								
L.lso2_c		0.646***				0.652***	0.648***	0.649***
		(0.0266)				(0.0264)	(0.0265)	(0.0264)
ldomestic_c		0.0276				0.00262		
		(0.0438)				(0.0416)		
lHMT_c		-0.0124					-0.0199	
		(0.0160)					(0.0139)	
lfdi_c		-0.0196						-0.0230
		(0.0170)						(0.0143)
lgov_c		0.115				0.114	0.121	0.118
		(0.0900)				(0.0900)	(0.0895)	(0.0893)
lfine	0.0952**	0.0704**	0.0712	0.0950**	0.126***	0.0580*	0.0696**	0.0790***
	(0.0461)	(0.0327)	(0.0447)	(0.0405)	(0.0428)	(0.0319)	(0.0271)	(0.0288)
lpopu_c		-0.0888				-0.0998*	-0.0825	-0.0821
		(0.0597)				(0.0594)	(0.0564)	(0.0562)
lsecgrp_c		-10.85***				-10.62***	-11.25***	-11.45***
		(3.370)				(3.370)	(3.149)	(3.159)
lland_c		0.165***				0.167***	0.166***	0.166***
		(0.0269)				(0.0269)	(0.0268)	(0.0268)
llaborinsec_c		0.276***				0.271***	0.295***	0.281***
		(0.0843)				(0.0832)	(0.0803)	(0.0789)
ldelivery_c		0.0282				0.0341	0.0324	0.0310
		(0.0214)				(0.0211)	(0.0209)	(0.0210)
lwage_c		-0.0463				-0.0852	-0.0752	-0.0570
		(0.117)				(0.115)	(0.115)	(0.116)
o.lfine		-						
								
o.year1	-	-	-	-	-		-	-
								
o.year8	-	-	-	-	-	-	-	-
								
L.lso2_b	0.400***		0.409***	0.414***	0.412***			
	(0.0283)		(0.0283)	(0.0281)	(0.0282)			
ldomestic_b	0.124*		0.117*					
	(0.0666)		(0.0664)					
lHMT_b	0.0626***			0.0414**				
	(0.0223)			(0.0204)				
lland_b	0.564***		0.548***	0.557***	0.555***			
	(0.0391)		(0.0390)	(0.0391)	(0.0391)			
lfdi_b	-0.0630***				-0.0308			
	(0.0238)				(0.0218)			
lgov_b	0.144		0.138	0.167	0.225			
	(0.143)		(0.142)	(0.139)	(0.140)			
llaborinsec_b	0.443***		0.483***	0.488***	0.608***			
	(0.130)		(0.125)	(0.122)	(0.119)			
lpopu_b	-0.163*		-0.146	-0.135	-0.0946			
	(0.0959)		(0.0958)	(0.0941)	(0.0938)			
lsecgrp_b	0.207		0.182	0.278**	0.290**			
	(0.147)		(0.148)	(0.138)	(0.138)			
ldelivery_b	0.128***		0.124***	0.137***	0.138***			
	(0.0423)		(0.0426)	(0.0420)	(0.0421)			
lwage_b	0.000415		0.0224	0.0307	0.140			
	(0.187)		(0.185)	(0.183)	(0.183)			
o.lland_b					-			
								
Constant	-6.311***	-1.881	-6.179***	-5.982***	-7.565***	-1.415	-1.471	-1.596
	(2.068)	(1.506)	(2.014)	(2.022)	(2.044)	(1.484)	(1.429)	(1.433)
								
Observations	780	780	780	780	780	780	780	780
R-squared	0.619	0.657	0.614	0.615	0.613	0.656	0.657	0.657
N	780	780	780	780	780	780	780	780
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
