	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	Random effect1.1	Random effect1.2	Random effect1.3	Random effect2.1	Random effect2.2	Random effect2.3	Random effect2.4	Random effect2.1	Random effect2.2	Random effect2.3	Random effect2.4
											
L.fdi_b	0.705***			0.758***				0.758***			
	(0.0575)			(0.0303)				(0.0303)			
lso2	1.410e+06	-1.035e+06*	1.904e+06***	1.856e+06*	-880,661*	2.181e+06***	3,544	1.856e+06*	-880,661*	2.181e+06***	3,544
	(890,479)	(608,492)	(692,285)	(1.100e+06)	(526,072)	(706,160)	(2,840)	(1.100e+06)	(526,072)	(706,160)	(2,840)
L.lso2	-2.287e+06*	482,198	-2.278e+06**	-1.366e+06	629,079	-1.462e+06**	-1,481	-1.366e+06	629,079	-1.462e+06**	-1,481
	(1.387e+06)	(393,353)	(917,963)	(963,902)	(408,197)	(741,611)	(2,907)	(963,902)	(408,197)	(741,611)	(2,907)
L2.lso2	1.340e+06*	25,808	1.208e+06**								
	(734,716)	(199,890)	(538,664)								
gov_b	-0.0199	-0.170***	0.271***	-0.0804***	-0.173***	0.263***	0.000434	-0.0804***	-0.173***	0.263***	0.000434
	(0.0297)	(0.0289)	(0.0924)	(0.0230)	(0.0211)	(0.0635)	(0.000298)	(0.0230)	(0.0211)	(0.0635)	(0.000298)
L.gov_b	0.314***	0.132***	0.00285	0.286***	0.131***	0.0368	0.000274**	0.286***	0.131***	0.0368	0.000274**
	(0.0518)	(0.0276)	(0.0754)	(0.0504)	(0.0255)	(0.0789)	(0.000108)	(0.0504)	(0.0255)	(0.0789)	(0.000108)
L2.gov_b	0.0830***	0.0710***	0.0636*								
	(0.0230)	(0.0108)	(0.0385)								
secgrp_b	-682.8	-18,754**	-25,544	2,259	-27,622***	-21,192	-96.54	2,259	-27,622***	-21,192	-96.54
	(17,153)	(8,315)	(54,298)	(21,774)	(8,102)	(44,674)	(139.5)	(21,774)	(8,102)	(44,674)	(139.5)
pgrp_b	3.285	-0.558	5.549	5.090	0.310	6.399	0.00956	5.090	0.310	6.399	0.00956
	(2.358)	(0.474)	(4.141)	(3.272)	(0.630)	(4.357)	(0.00605)	(3.272)	(0.630)	(4.357)	(0.00605)
wage_b	-0.221***	0.259***	-0.278***	-0.241***	0.248***	-0.294***	0.000301	-0.241***	0.248***	-0.294***	0.000301
	(0.0342)	(0.0560)	(0.0650)	(0.0342)	(0.0528)	(0.0575)	(0.000186)	(0.0342)	(0.0528)	(0.0575)	(0.000186)
laborinsec_b	2,101	15,179*	82,231**	16,358	26,792***	72,610**	-83.56	16,358	26,792***	72,610**	-83.56
	(21,669)	(7,867)	(38,013)	(18,505)	(7,450)	(31,526)	(88.40)	(18,505)	(7,450)	(31,526)	(88.40)
delivery	52.52	11.88	126.3**	51.97	6.049	96.53**	0.0914	51.97	6.049	96.53**	0.0914
	(32.10)	(8.497)	(51.05)	(31.95)	(5.262)	(40.30)	(0.0871)	(31.95)	(5.262)	(40.30)	(0.0871)
density_b	3,707	4,212	23,598	3,107	-1,275	15,308**	-49.39	3,107	-1,275	15,308**	-49.39
	(10,908)	(5,561)	(17,695)	(4,349)	(2,982)	(7,206)	(109.6)	(4,349)	(2,982)	(7,206)	(109.6)
laborval	-381,295***	-50,425*	-479,896***	-364,732***	-37,391	-435,387***	-297.8	-364,732***	-37,391	-435,387***	-297.8
	(139,990)	(30,238)	(154,882)	(125,524)	(27,306)	(135,719)	(430.7)	(125,524)	(27,306)	(135,719)	(430.7)
busval	-15.71	10.49	79.86								
	(51.16)	(21.11)	(73.38)								
L.HMT_b		0.528***			0.582***				0.582***		
		(0.0867)			(0.0826)				(0.0826)		
L.domestic_b			0.852***			0.882***				0.882***	
			(0.117)			(0.0925)				(0.0925)	
L.rfdi_b							1.016***				1.016***
							(0.0523)				(0.0523)
Constant	-1.884e+06	4.415e+06*	-1.772e+07**	-5.585e+06*	3.418e+06	-1.028e+07*	-6,116	-5.585e+06*	3.418e+06	-1.028e+07*	-6,116
	(3.278e+06)	(2.590e+06)	(7.293e+06)	(2.870e+06)	(2.177e+06)	(5.283e+06)	(16,855)	(2.870e+06)	(2.177e+06)	(5.283e+06)	(16,855)
											
Observations	1,100	1,086	1,121	1,408	1,373	1,441	1,441	1,408	1,373	1,441	1,441
Number of id	242	239	243	257	249	261	261	257	249	261	261
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
