	(1)	(2)	(3)
VARIABLES	SYS-GMM1.1	SYS-GMM1.2	SYS-GMM1.3
			
L.fdi_a	0.594***		
	(0.042)		
lso2	2154504.055*	-561,245.348	5119140.857***
	(1298723.303)	(562,526.404)	(1382929.547)
L.lso2	-461,948.747	277,117.176	-291,843.221
	(758,485.306)	(344,285.949)	(1396553.565)
gov_a	-43.141	418.776***	3,562.605***
	(287.486)	(66.009)	(491.879)
L.gov_a	1266312.013**	274,360.377***	2013628.093***
	(531,853.908)	(84,166.767)	(747,061.818)
secgrp_a	-26,816.927	-48,970.775**	-164,554.742
	(62,682.770)	(20,279.013)	(112,947.042)
pgrp_a	50.657***	9.299**	51.383***
	(14.176)	(4.268)	(13.423)
wage_a	-0.306***	0.250***	-0.288***
	(0.036)	(0.047)	(0.066)
laborinsec_a	291,145.883***	128,956.694***	773,553.029***
	(102,573.426)	(48,467.935)	(123,245.706)
delivery	76.919**	11.368*	165.467***
	(38.581)	(6.131)	(50.060)
density_a	33,454.353***	2,835.673	49,508.112**
	(11,431.943)	(4,636.925)	(23,924.026)
laborval	-474,394.195***	-73,268.042	-351,068.811
	(181,424.027)	(57,699.188)	(301,672.054)
L.HMT_a		0.440***	
		(0.039)	
L.domestic_a			0.494***
			(0.058)
Constant	-3.637e+07***	-2593086.135	-8.673e+07***
	(11781017.426)	(3874656.399)	(18615627.428)
			
Number of id	261	256	261
ar1	-2.061	-3.800	-5.435
ar1p	0.0393	0.000145	5.48e-08
ar2	-1.436	-1.413	-0.243
ar2p	0.151	0.158	0.808
sargan	1297	844.3	960.6
sarganp	0	0	0
hansen	241.6	228.9	242.8
hansenp	0.121	0.277	0.111
N	1441	1409	1441
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
