	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	total	suburban	domestic	HMT	fdi_b	domestic_b	HMT_b	fdi_b
								
ldomestic_c		0.159***				0.148***		
		(0.0613)				(0.0558)		
lHMT_c		-0.00439					0.00373	
		(0.0219)					(0.0199)	
lfdi_c		-0.0135						-0.00314
		(0.0166)						(0.0156)
lgov_c		0.454***				0.450***	0.497***	0.500***
		(0.146)				(0.148)	(0.154)	(0.153)
lfine	-0.195***	0.112**	-0.195**	-0.180**	-0.165**	0.105**	0.166***	0.170***
	(0.0673)	(0.0508)	(0.0862)	(0.0770)	(0.0775)	(0.0512)	(0.0405)	(0.0425)
lpopu_c		-0.199*				-0.201*	-0.115	-0.110
		(0.103)				(0.104)	(0.108)	(0.106)
lsecgrp_c		-5.240**				-5.117**	-7.279***	-7.373***
		(2.288)				(2.302)	(2.289)	(2.280)
lland_c		0.234***				0.235***	0.236***	0.235***
		(0.0436)				(0.0434)	(0.0451)	(0.0449)
llaborinsec_c		0.255**				0.248**	0.315***	0.318***
		(0.111)				(0.110)	(0.113)	(0.110)
ldelivery_c		0.0333**				0.0334**	0.0381**	0.0382**
		(0.0155)				(0.0154)	(0.0169)	(0.0170)
lwage_c		0.193				0.181	0.171	0.175
		(0.150)				(0.150)	(0.152)	(0.149)
o.lfine		-						
								
o.year8	-	-	-	-	-		-	-
								
ldomestic_b	0.0740		0.0661					
	(0.0910)		(0.125)					
lHMT_b	0.0252			0.0246				
	(0.0257)			(0.0263)				
lland_b	0.951***		0.953***	0.952***	0.953***			
	(0.0379)		(0.0739)	(0.0738)	(0.0737)			
lfdi_b	-0.0463				-0.0381			
	(0.0348)				(0.0360)			
lgov_b	-0.204		-0.233	-0.210	-0.193			
	(0.239)		(0.266)	(0.270)	(0.270)			
llaborinsec_b	-0.0362		-0.0459	-0.0441	-0.00926			
	(0.134)		(0.163)	(0.161)	(0.159)			
lpopu_b	-0.120		-0.120	-0.0935	-0.0794			
	(0.161)		(0.175)	(0.168)	(0.170)			
lsecgrp_b	-0.0447		-0.0455	-0.0312	-0.0154			
	(0.102)		(0.0907)	(0.0905)	(0.0919)			
ldelivery_b	0.0181		0.0177	0.0190	0.0231			
	(0.0326)		(0.0252)	(0.0254)	(0.0253)			
lwage_b	0.131		0.140	0.146	0.170			
	(0.201)		(0.236)	(0.224)	(0.224)			
o.lland_b					-			
								
Constant	1.055	-2.622	1.162	1.366	1.396	3.393*	-1.392	-1.413
	(2.918)	(1.972)	(3.280)	(3.253)	(3.253)	(1.740)	(1.946)	(1.930)
								
Observations	1,239	1,239	1,239	1,239	1,239	1,239	1,239	1,239
R-squared	0.428		0.427	0.427	0.427			
Number of id	239	239	239	239	239	239	239	239
N	1239	1239	1239	1239	1239	1239	1239	1239
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
