	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	lso2_b	total_a	total_b	lso2_a	lso2_a	lso2_a	lso2_b	lso2_b	lso2_b
									
L.lso2_b		-0.223***		-0.167***	-0.234***	-0.213***			
		(0.037)		(0.043)	(0.056)	(0.045)			
ldomestic_b		0.150		0.212					
		(0.160)		(0.155)					
lHMT_b		0.008			0.079				
		(0.062)			(0.066)				
lland_b		0.740***		0.728***	0.731***	0.763***			
		(0.076)		(0.070)	(0.078)	(0.059)			
lfdi_b		-0.051				-0.017			
		(0.054)				(0.059)			
lgov_b		1.286**		0.887	1.755***	1.433**			
		(0.518)		(0.639)	(0.579)	(0.655)			
lfine	-0.034	-0.257***	0.011	-0.187	-0.375***	-0.113	-0.078	0.012	-0.034
	(0.043)	(0.098)	(0.054)	(0.114)	(0.115)	(0.098)	(0.052)	(0.044)	(0.043)
llaborinsec_b		0.508***		0.615***	0.563**	0.571**			
		(0.196)		(0.185)	(0.270)	(0.223)			
lpopu_b		-0.450*		-0.197	-0.191	-0.045			
		(0.246)		(0.337)	(0.349)	(0.330)			
lsecgrp_b		0.122		0.111	-0.054	0.104			
		(0.134)		(0.145)	(0.143)	(0.141)			
ldelivery_b		0.042**		0.039*	0.055***	0.042**			
		(0.018)		(0.021)	(0.021)	(0.020)			
lwage_b		0.265		-0.066	-0.148	0.253			
		(0.265)		(0.301)	(0.246)	(0.282)			
seaside	1.050***	1.903***	0.839***	3.624***	2.100**	2.415***	2.005***	0.953***	1.050***
	(0.175)	(0.458)	(0.131)	(0.999)	(0.870)	(0.732)	(0.454)	(0.114)	(0.175)
vice	0.317	-2.173***	-0.111	-1.717	-4.099***	-3.296***	0.064	0.834**	0.317
	(0.477)	(0.768)	(0.437)	(1.076)	(0.995)	(1.205)	(0.520)	(0.423)	(0.477)
L.lso2_c	0.127***		0.080***				0.056*	0.074***	0.127***
	(0.025)		(0.026)				(0.029)	(0.024)	(0.025)
lfdi_c	0.237***		0.114***						0.237***
	(0.028)		(0.033)						(0.028)
lland_c	0.260***		0.234***				0.243***	0.190***	0.260***
	(0.057)		(0.034)				(0.044)	(0.052)	(0.057)
lgov_c	-0.311		0.544**				1.209***	1.169***	-0.311
	(0.307)		(0.248)				(0.349)	(0.263)	(0.307)
lpopu_c	0.247		-0.489**				-1.083***	-0.387**	0.247
	(0.224)		(0.195)				(0.222)	(0.188)	(0.224)
llaborinsec_c	-0.071		0.045				-0.552***	-0.044	-0.071
	(0.118)		(0.123)				(0.133)	(0.119)	(0.118)
lsecgrp_c	-10.640***		-15.405***				-12.100***	-11.027***	-10.640***
	(3.123)		(2.668)				(2.789)	(3.110)	(3.123)
ldelivery_c	0.013		-0.002				0.007	0.021*	0.013
	(0.012)		(0.010)				(0.010)	(0.011)	(0.012)
lwage_c	-0.469***		-0.478***				-0.733***	-0.319*	-0.469***
	(0.178)		(0.161)				(0.190)	(0.173)	(0.178)
ldomestic_c			0.196				0.410***		
			(0.142)				(0.111)		
lHMT_c			-0.019					0.058**	
			(0.036)					(0.024)	
Constant	8.349***	-0.019	10.485***	-7.706	4.735**	-1.047	4.014	11.559***	8.349***
	(2.191)	(3.069)	(2.134)	(4.889)	(2.226)	(3.705)	(3.165)	(2.231)	(2.191)
									
Number of id	223	223	223	223	223	223	223	223	223
arm1	-1.791	-2.807	-1.835	-2.608	-2.654	-2.421	-2.600	-2.497	-1.791
arm2	-1.250	-0.720	-1.191	0.0498	-0.431	-0.997	-1.473	-0.919	-1.250
artests	2	2	2	2	2	2	2	2	2
sargan	53.88	61.02	74.17	57.04	48.85	56.79	63.25	57.57	53.88
sarganp	.	.	.	.	.	.	.	.	.
N	780	780	780	780	780	780	780	780	780
N_g	223	223	223	223	223	223	223	223	223
Standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
